"id","utrProfileId","singlesRating","doublesRating","playerId","createdAt","updatedAt"
83,1587620,"11.03","11.03",83,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
84,1784614,"11.03","11.4",84,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
85,1445648,"11.03","11.77",85,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
86,1476950,"11.03","10.57",86,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
87,104369,"11.03","10.33",87,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
88,1915077,"11.03","11.29",88,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
89,279877,"11.03","10.71",89,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
90,1900859,"11.03","10.85",90,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
91,374809,"11.03","10.91",91,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
92,274751,"11.03","12.15",92,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
93,390534,"11.03","10.7",93,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
94,1948096,"11.03","10.89",94,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
95,277033,"11.02","10.82",11,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
96,1744762,"11.02","11.61",12,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
97,1860384,"11.02","11.07",1,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
98,1016727,"11.02","11.39",2,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
99,116884,"11.02","11.23",3,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
100,1784606,"11.02","10.72",7,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
101,211703,"11.02","11.56",8,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
102,281423,"11.02","10.32",9,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
103,375293,"11.02","11.13",10,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
104,847444,"11.02","10.8",4,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
105,1239433,"11.02","11.4",5,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
106,276221,"11.02","11.55",6,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
107,149799,"11.04","11.77",107,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
108,1738043,"11.02","0",58,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
109,398332,"11.02","10.37",61,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
110,1707072,"11.02","0",60,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
111,1940940,"11.05","10.78",111,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
112,777467,"11.05","11.79",112,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
113,276796,"11.05","11.44",113,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
114,1041332,"11.05","10.68",114,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
115,1020829,"11.05","11.22",115,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
116,1784529,"11.05","11.71",116,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
117,279566,"11.05","8.01",117,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
118,286141,"11.05","10.26",118,"2020-06-10 20:28:14.526+00","2020-06-10 20:28:14.526+00"
